英単語,訳,発音記号（IPA）,解説
bullet,弾丸,ˈbʊlət,"『弾丸』,銃弾,小銃弾"
bully,いじめ,ˈbʊli,"弱い者いじめ,がき大将 / 〈弱い者〉'を'いじめる,おどかす / 《話》(…にとって)すてきな,すばらしい《+『for』+『名』》 / うまい,でかした"
bundle,バンドル；束；包み,ˈbʌndəl,"(…の)『束』,『包み』,巻いたもの(旅行者の荷物など)《+『of』+『名』》 / …'を'包みにする,束にする / (…に)…'を'ごっちゃに投げ込む《+『名』+『into』+『名』》 / 荷物をまとめてさっさと出て行く《+『off』(『out』,『away』)》"
bureaucracy,"【名/U/C】官僚政治,官僚制度；《the ~》官吏,官僚；お役所式の繁雑な手続",bjʊˈrɑkrəsi,"〈U〉〈C〉官僚政治,官僚制度 / 《the ~》《集合的に》官吏,官僚 / 〈U〉お役所式の繁雑な手続"
bureaucrat,【名/C】官僚・吏吏 / 官僚的な人,ˈbjʊrəˌkræt,官僚・吏吏 / 官僚的な人
bureaucratic,【形】《軽べつして》官僚の;官僚的な;官僚制の,ˌbjʊrəˈkrætɪk,【形】《軽べつして》官僚の;官僚的な;官僚制の
businessman,ビジネスマン,ˈbɪznəˌsmæn,『実業家』;『実務家』
bust,胸像；(女性の）胸；破裂させる；破産させる,bʌst,"〈C〉半身像,胸像 / 〈U〉《遠回しに》(婦人の)胸部"
buyout,買収,ˈbaɪˌaʊt,
cabinet,戸棚,ˈkæbənət,"『キャビネット』(引出し・たな・仕切などのある箱・戸だな) / 《しばしばCabinet》《集合的に》《単数・複数扱い》『内閣』,(内閣の)閣僚連 / 《英》閣議 / 《古》小さい個室"
calculation,計算,ˌkælkjəˈleɪʃən,"見積もり,算定 / 予想,推定 / 意図,熟慮"
calculator,電卓,ˈkælkjəˌleɪtər,計算者 / 計算器機(=calculating machine)
calendar,カレンダー,ˈkæləndər,"〈C〉『暦』,カレンダー / 〈C〉〈U〉暦法 / 〈U〉〈C〉年中行事表;訴訟事件表,議事日程表"
campus,構内；大学の,ˈkæmpəs,"(大学などの)『構内』,キャンパス;学園 / 《米》(大学の)分校"
cancellation,取り消し,ˌkænsəˈleɪʃən,"〈U〉(…の)まっ殺,取り消し,削除《+『of』+『名』》 / 〈C〉消印"
candidate,候補者,ˈkændədeɪt,"(…の)『候補者』,志願者《+『for』+『名』》"
capita,人,ˈkæpɪtə,
capitalism,資本主義,ˈkæpɪtəˌlɪzəm,資本主義
capitalist,資本家,ˈkæpətəlɪst,資本家 / 《まれ》資本主義者
capitalization,総額,ˌkæpɪtəlɪˈzeɪʃən,資本化;投資 / 大文字で書く(印刷する)こと
capitalize,大文字にする,ˈkæpətəˌlaɪz,"…'を'大文字で書く(印刷する) / …'を'資本化する / …‘に'投資する,出資する / …‘の'資本価値を算定する"
captain,キャプテン；長,ˈkæptən,"『長』,かしら(chief) / 『船長』,艦長;(吾行機の)機長 / (チームの)『主将』,キャプテン;組長 / 陸軍大慰;海軍大佐;《米》(空軍・海兵隊の)大慰,《英》空軍大佐 / …'を'統率する,指揮する"
cargo,貨物,ˈkɑrˌgoʊ,"(船・飛行機の)『積荷』,貨物"
carmaker,自動車メーカー,ˈkɑrˌmeɪkər,自動車製造業者
carrier,運ぶもの；運送会社；通信会社；保険会社,ˈkæriər,"『運搬する人』;輸送業者(会社) / 運搬する物,運客車;運客設備 / (…の)媒介体,保菌者《+『of』+『名』》 / (また『aircraft carrier』)航空母艦 / (自転車・車の)荷台"
cartel,カルテル；企業連合,kɑrˈtɛl,"カルテル,企業連合 / (交戦国間の)捕慮交換協定書 / (政党が共通の目的のために結ぶ)党派連合 / (決闘の)挑戦状,果たし状"
casino,カジノ,kəˈsinoʊ,カジノ(とばく・ダンス・演芸などの娯楽場)
casual,カジュアル；無頓着な；臨時の；偶然の,ˈkæʒəwəl,"『むぞうさな』,さりげない(offhand) / 『偶然の』,思いがけない / ふだん着の,くだけた / むとんじゃくな,無関心な / 臨時雇労働者 / ふだん着"
casualty,死傷者,ˈkæʒəwəlti,"(事故・災害などの)賜傷者負傷者,被災者,被害者;(戦争による)負傷者,行方不明者 / 不慮の事故,人身事故"
catastrophe,破局,kəˈtæstrəfi,"(突然の)大変動,大災害 / 悲劇的結末,破局"
cater,（for A）Aの料理をまかなう,ˈkeɪtər,"(結婚式・パーティーなどで)(…の)食物を調達する,料理をまかなう《+『for』(『to』)+『名』》 / (…の)要求を満たす,用命に応じる《+『for』(『to』)+『名』》 / 〈結婚式・パーティーなど〉‘の'料理をまかなう,仕出しをする"
cattle,牛,ˈkætəl,(家畜の)『牛』
caution,注意,ˈkɑʃən,"〈U〉『用心』,注意,慎重さ,用心深さ(prudence) / 〈C〉『警告』(『注意』)『の言葉』(『合図』,『しるし』) / …‘に'『警告する』,用心させる"
cautious,"注意深い,用心深い；慎重な",ˈkɔʃəs,"『用心深い』,慎重な"
cease,終わる；やめる,sis,"『やむ』,終わる / …'を'『やめる』,中止する / 終止"
ceasefire,停戦,ˈsiˈsfaɪər,"休戦,休戦命令"
ceiling,天井,ˈsilɪŋ,"『天井』 / いちばん高い所,頂上 / (価格・賃金などの)最高限度 / (航空機の)上昇限度"
celebrity,有名人,səˈlɛbrɪti,"〈U〉名声,高名 / 〈C〉有名人,名士"
census,人口調査,ˈsɛnsəs,"人口調査,国勢調査"
centralize,一元化,ˈsɛntrəˌlaɪz,"…'を'中心に集める,一点に集中する;…'を'中央集権化する"
certainty,確実,ˈsɜrtənti,"〈U〉確実性,必然性;確信 / 〈C〉確実なもの(こと),確かな見込み"
certificate,証明書,sərˈtɪfɪkət,"『証明書』,証書,証券 / 『免証状』,認許状,(学位を伴わない)修業証書"
certification,認証,ˌsɜrtəfəˈkeɪʃən,"〈U〉証明,保証,認可,検定;証明書の交付 / 〈C〉証明書(certificate)"
certify,証明 / 保証する,ˈsɜrtəˌfaɪ,"…'を'証明する,保証する,確認する / (…を)保証する《+『to』+『名』》"
chancellor,宰相,ˈʧænsələr,"(西独・オーストリアなどの)首相 / (アメリカのいくつかの大学で)総長,学長 / 《米》衡平法裁判所(court of equity)の判事 / (国王などの)秘書;(外交官の)一等書記官 / 各種の高官の称号"
chaos,混沌,ˈkeɪɑs,"〈U〉(天地創造以前の)混とん / 〈U〉(一般に)『混乱状態』,無秩序;〈C〉混乱したもの"
charitable,慈善の,ˈʧærətəbəl,"慈悲深い,情け深い;(…に対して)慈悲深い《+『to』+『名』》 / 慈善の,慈善のための / 寛大な,寛容な"
charter,憲章；認可書；契約使用,ˈʧɑrtər,"(君主・政府などが人民・組織・個人に与える権利の)『特許状』,免許状,憲章 / (組織の趣旨を述べた)『憲章』 / (バス・飛行機・船などの)貸借契約 / 〈組織など〉‘に'『特許(免許)を与える』 / (契約によって)〈バス・飛行機・船など〉'を'『借り切る』"
cheaply,安く,ˈʧipli,=cheap{副}
cheat,チート；騙す,ʧit,"〈人〉'を'『だます』,欺く / 《文》…'を'うまくのがれる / (…で)〈人が〉『不正をする』,カンニングする《+『at』(『on, in』)+『名』》 / 《話》(浮帰などで夫または妻を)裏切る《+『on』+『名』》 / 〈U〉〈C〉詐欺,ぺてん / 〈C〉ずるいやつ,詐欺師,やま師"
cheer,歓声,ʧɪr,"〈C〉『歓呼』,かっさい / 〈U〉『励まし』,激励,応援 / 〈U〉陽気,元気,浮き浮きした気分 / 〈U〉気分,きげん / 〈人〉'を'『元気づける』,励ます / 〈人〉‘に'歓呼する,かっさいする / 〈人が〉『歓呼する』,かっさいする"
cheque,小切手,cheque,=check{名}6
chunk,チャンク；大きな塊；かなりの量；決まり文句,ʧʌŋk,"(…の)厚切り,厚いかたまり《+『of』+『名』》 / かなりの量(額,部分)"
cinema,映画館；映画,ˈsɪnəmə,〈C〉『映画館』(《米》movie theater) / 《the ~》映画産業;《集合的に》『映画』(《米》movie[s])
circuit,回路,ˈsɜrkət,"『回ること』;一周,一巡 / (牧師・裁判官・外交員などの定期的な)巡回 / 巡回する経路,巡回区域;(特に)巡回裁判区 / (電気の)配線系統,回路 / (映画館・劇場などの)チェーン,興行系統 / (チーム・クラブ・競技場などの)連盟,リーグ / (土地・物などの)周囲,回り / 境界線で囲まれた区域"
circulate,循環する；広まる；動き回る,ˈsɜrkjəˌleɪt,"〈血液・空気などが〉『循環する』,巡る / 〈うわさなどが〉『広まる』;〈本・新聞などが〉(特に広範囲に)『配布される』,売られる / 〈血液・空気など〉'を'『循環させる』;〈物〉を回す,回覧させる / 〈うわさなど〉'を'『広める』;〈本・新聞など〉'を'配布する"
circulation,循環；流通；広まり；発行部数,ˈsɜrkjəˌleɪʃən,"〈U〉『血液の循環』,血行 / 〈U〉(貨幣の)流通;(情報・うわさなどの)流布伝達;(新聞・雑誌など,印刷物の)配布 / 〈C〉(新聞・雑誌などの)発行部数"
citation,引用,saɪˈteɪʃən,"〈U〉(事実などの)引用,挙例《+『of』+『名』》;〈C〉引用文 / 〈C〉(…の)召喚状 / 〈C〉(軍人・部隊などに与えられる)感状;(一般に)表彰状"
citizenship,市民権,ˈsɪtɪzənˌʃɪp,"市民権,公民権"
clarify,明らかにする,ˈklɛrəˌfaɪ,"…'を'明らかにする,理解しやすくする / 〈液体・空気など〉'を'澄ませる,浄化する / 〈思想・意味などが〉分かりやすくなる,明解になる / 澄む,透明になる"
clarity,明快,ˈklɛrəti,"(思想・文体などの)明快さ,明瞭 / (音色の)清澄"
clash,衝突,klæʃ,"(物がぶつかり合う)『ガチャン』)『ガシャン』,『ジャーン』)『という音』 / (…間の)(意見・利害などの)衝突,抗争《+『between』+『名』》 / 『ガチャン』)『ガシャン』)『と音を立てる』;(…に)ガチャンとぶつかる《+『to』(『against, into』)+『名』》 / (…と)『合わない』,調和しない《+『with』+『名』(do『ing』)》 / (競技・戦闘で)(…ど)相打つ,激突する《+『with』+『名』》 / …'を'ガチャン(ジャン)とぶつける"
classification,分類,ˌklæsəfəˈkeɪʃən,〈U〉〈C〉分類[作業];分類法;分類結果 / 〈U〉(生物学上の)分類
classify,分類,ˈklæsəˌfaɪ,"(…に)…'を'『分類する』,類別する,等級別にする《+『名』+『into』+『名』》 / 《米》〈文書類など〉'を'機密扱いにする"
classroom,教室,ˈklæsˌrum,"『クラスルーム』,教室"
cleaner,クリーナー；掃除機；清浄機,ˈklinər,掃除機 / (また『cleaner's』)クリーニング屋(店) / クリーニングする人;清掃作業員 / 洗剤
cleric,牧師,ˈklɛrɪk,{名}〈C〉 / =clergyman
clever,賢い；抜け目ない,ˈklɛvər,"『リコウな』,頭のよい,才気のある,気のきいた / 『器用な』,じょうずな(skillful)"
click,クリック；カチッと音を立てる；仲良くなる,klɪk,"(掛け金をかけたり,錠を回したりする時の)『カチリという音』 / カチリと鳴る物;掛け金 / 『カチリと音がする』 / 《英俗》〈男女が〉意気投合する;(…と)カチッと気が合う《+『with』+『名』》 / 《話》成功する,うまくいく / 《話》(…に)分かる,のみこめる《+『with』+『名』》 / …'を'カチリと鳴らす"
client,クライアント；依頼人；相談者；保護国,ˈklaɪənt,"[『弁護』]『依頼人』,訴訟依頼人 / (商売上の)おとくい(customer)"
clinic,診療所,ˈklɪnɪk,"〈U〉(医学の)臨床講義 / 〈C〉《集合的に》臨床講義のクラス / 〈C〉臨床講義室 / 〈C〉(病院・医科大学・社会事業団などに付属した)診療所;《形容詞を判って》医療施設,病院 / 〈C〉(警察・学校・社会事業団などに付属した)相談所"
clip,クリップ；切りそろえる；切り抜く,klɪp,"『紙ばさみ』,クリップ;留める物 / (機関銃の) 挿弾子｛そうだんし｝、弾倉｛だんそう｝　…'を'『はさむ』,はさんで留める"
clone,クローン；まったく同じようなもの；無性生殖する,kloʊn,"クロン(一個体から無性生殖で増殖した有機体群);(植物の)栄養系,(動物の)分技系"
closure,閉鎖,ˈkloʊʒər,"〈U〉閉鎖;閉店,休業 / 〈U〉終止,終局 / 〈C〉《英》=cloture"
clout,影響力,klaʊt,"〈C〉《話》手でなぐること / 〈U〉《米話》政治的景響力,実力 / …'を'手でなぐる"
clue,手がかり,klu,"(問題・なぞなどを解く)『手がかり』,(研究などの)『糸口』,端緒;(話などの)筋道《+『to』+『名』》 / =ciew1 / =clew3 / 《『clue in』(『up』)+『名,clue』+『名』+『in』(『up』)》(…について)…‘に'手掛かり(情報)を与える《+『about』(『on』)+『名』》"
coalition,連立,ˌkoʊəˈlɪʃən,"(政党などの,特に一時的な)(…間の)連立,提携《+『between』+『名』》 / 一体化,合体融合"
coefficient,係数,ˌkoʊəˈfɪʃənt,"(数学で)係数,(物理で)係数,率"
cognitive,認知,ˈkɑgnɪtɪv,"認識の(に関する,を要する)"
coincide,一致,ˌkoʊɪnˈsaɪd,"(…と)『同時に起こる』《+『with』+『名』》 / 〈人・性格・意見などが〉(…と)『一致する』,ぴったり合う《+『with』(『in』)+『名』》"
collaboration,協力；共同研究,kəˌlæbəˈreɪʃən,"(…しの)共同,協力;共作,合作,共著《+『with』+『名』》"
collar,襟,ˈkɑlər,"(衣服の)『えり』,カラー / 首飾り;(勲章としての)頚(けい)章,首章 / (犬などの)首輪;(馬・牛などの)首当て / 〈依服〉‘に'カラーをつける;〈犬〉‘に'首輪をつける / 〈人〉‘の'えり首を捕まえる / 《話》〈犯人など〉'を'捕らえる;〈帰りたがっている人〉'を'引き止めて話し込む / 《俗》〈物〉'を'持つ去る,盗む"
collateral,"担保；傍系親族；付随する, 副次[二次]的な；並行した；見返りの.",kəˈlætərəl,"並び合った
二次的な,付随的な(secondary)
証券類を担保とした
傍系の,直系でない
担保,低当,見返り物資"
